N,URBANSIMX,URBANSIMY
1,1481914.38580000000,7748532.69076
2,1478465.99368000000,7744368.65176
3,1482201.43845000000,7741758.14747
4,1476057.52480000000,7738710.56527
5,1479769.33644000000,7735111.75235
6,1482763.97431000000,7733934.75791
7,1487781.81294000000,7739168.56528
8,1488083.00124000000,7751314.53262
9,1490393.47286000000,7752546.48100
10,1492913.21075000000,7744639.47615
11,1496201.03260000000,7734005.62992
12,1492135.58975000000,7729253.66473
13,1496720.70022000000,7728371.76240
14,1477307.81981000000,7726265.65984
15,1483398.44935000000,7726696.25585
16,1481326.84135000000,7721788.88206
17,1484979.59893000000,7721439.85285
18,1477478.88155000000,7718023.18203
19,1479931.03473000000,7710953.36592
20,1487341.98998000000,7707432.58209
21,1480034.14408000000,7700337.12700
22,1485228.34446000000,7693641.68298
23,1488311.60687000000,7685843.70543
24,1489525.35083000000,7681048.20918
25,1487432.17026000000,7726329.81475
26,1487250.03807000000,7722763.39289
27,1489768.44373000000,7723251.25697
28,1489249.72275000000,7720516.70294
29,1490560.81858000000,7726338.74689
30,1493549.75873000000,7724462.38040
31,1493264.19862000000,7722809.31958
32,1493277.00831000000,7720672.16942
33,1496240.32919000000,7725259.86254
34,1498144.96039000000,7725179.34779
35,1496192.33176000000,7722859.69628
36,1498099.39390000000,7722920.36283
37,1496176.21593000000,7720617.31290
38,1498073.56099000000,7720654.93743
39,1500785.51941000000,7727752.63678
40,1499850.24047000000,7724946.61533
41,1501075.03845000000,7724907.98423
42,1499826.46944000000,7722884.73980
43,1501107.03366000000,7722853.00696
44,1499791.39344000000,7721065.74481
45,1501081.82259000000,7721030.78665
46,1499750.65325000000,7719095.70308
47,1501050.86844000000,7719070.65100
48,1502153.56260000000,7725173.79705
49,1502471.79560000000,7723015.47326
50,1503241.05834000000,7723391.05529
51,1504089.09228000000,7723770.39110
52,1502757.76861000000,7721310.01724
53,1504649.39590000000,7720658.15853
54,1502600.78950000000,7720110.78151
55,1502186.60215000000,7718552.16365
56,1505423.24781000000,7718617.47052
57,1489228.45782000000,7718041.21561
58,1493061.92291000000,7718215.21169
59,1489595.72468000000,7715374.37211
60,1492329.50445000000,7714980.38556
61,1490168.97809000000,7712298.40386
62,1495192.22303000000,7717725.67729
63,1496289.30828000000,7718726.98945
64,1498016.39115000000,7718688.08356
65,1496248.30078000000,7717351.17541
66,1497977.67869000000,7716928.17336
67,1494693.50477000000,7715483.70519
68,1496206.70144000000,7715525.59383
69,1497942.71865000000,7715089.49880
70,1494362.93745000000,7712573.02576
71,1497689.84493000000,7712359.84381
72,1499349.65976000000,7716979.06074
73,1500942.75256000000,7716837.57173
74,1502457.29863000000,7717204.47244
75,1499669.81396000000,7715047.30213
76,1500966.77799000000,7715015.66163
77,1502163.01422000000,7714809.41886
78,1503699.65563000000,7715324.18048
79,1501256.74514000000,7712640.52440
80,1490456.81182000000,7709736.15633
81,1494589.82006000000,7710319.00020
82,1497195.89290000000,7710416.66508
83,1494187.13135000000,7709584.49504
84,1497128.83005000000,7709004.59846
85,1494405.03824000000,7706086.19703
86,1489056.87115000000,7704491.52175
87,1490786.70175000000,7703986.46240
88,1493052.13678000000,7703399.24680
89,1499791.01758000000,7710149.84774
90,1499133.39377000000,7708675.15699
91,1497662.05359000000,7706026.88275
92,1496407.05767000000,7703983.96962
93,1495025.61888000000,7702774.16536
94,1488570.38973000000,7701304.20147
95,1490328.39872000000,7700477.58771
96,1491977.24929000000,7699788.19709
97,1494197.59127000000,7700700.98683
98,1488460.59567000000,7697708.79256
99,1490041.86199000000,7697888.96352
100,1492064.87613000000,7696663.41928
101,1493872.33521000000,7696349.21905
102,1488415.70555000000,7694786.77548
103,1490106.47435000000,7694770.62600
104,1492136.54530000000,7694559.52903
105,1488373.07186000000,7692035.49159
106,1490193.60744000000,7691727.94157
107,1492838.83728000000,7692951.84150
