;TAZID,;CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,CO_NAME
1,30001,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
2,30002,16,41,2.5625,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,BOX ELDER
3,30003,25,68,2.72,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,BOX ELDER
4,30004,1,3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
5,30005,66,202,3.060606060606061,2,0,0,2,13,0,0,0,0,0,0,2,0,0,0,8,3,BOX ELDER
6,30006,4,9,2.25,8,0,8,0,9,0,0,0,8,0,0,0,0,0,0,1,0,BOX ELDER
7,30007,41,112,2.731707317073171,36,2,28,6,254,2,0,0,28,0,0,0,6,210,0,5,3,BOX ELDER
8,30008,51,158,3.0980392156862746,56,18,0,38,65,18,0,0,0,36,0,0,2,0,0,5,4,BOX ELDER
9,30009,16,42,2.625,93,0,93,0,96,0,0,0,93,0,0,0,0,0,0,2,1,BOX ELDER
10,30010,23,62,2.6956521739130435,97,0,97,0,100,0,0,0,97,0,0,0,0,0,0,2,1,BOX ELDER
11,30011,8,24,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
12,30012,18,53,2.9444444444444446,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1,BOX ELDER
13,30013,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
14,30014,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
15,30015,1,3,3.0,262,0,253,9,313,0,0,101,152,0,0,0,9,48,0,3,0,BOX ELDER
16,30016,1,3,3.0,104,0,83,21,111,0,0,6,77,0,0,0,21,0,0,7,0,BOX ELDER
17,30017,4,11,2.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,BOX ELDER
18,30018,0,0,0.0,656,0,656,0,664,0,0,432,224,0,0,0,0,0,0,8,0,BOX ELDER
19,30019,251,772,3.0756972111553784,26,15,10,1,55,15,0,0,10,1,0,0,0,0,0,17,12,BOX ELDER
20,30020,170,398,2.3411764705882354,119,12,64,43,146,12,0,62,2,0,0,0,43,0,0,16,11,BOX ELDER
21,30021,0,0,0.0,397,0,397,0,403,0,0,356,41,0,0,0,0,0,0,6,0,BOX ELDER
22,30022,2,6,3.0,8,0,8,0,8,0,0,8,0,0,0,0,0,0,0,0,0,BOX ELDER
23,30023,4,11,2.75,49,0,49,0,50,0,0,21,28,0,0,0,0,0,0,1,0,BOX ELDER
24,30024,148,456,3.081081081081081,2,0,0,2,17,0,0,0,0,0,0,1,1,0,0,9,6,BOX ELDER
25,30025,321,981,3.077151335311573,141,5,2,134,193,5,0,0,2,1,112,17,4,0,0,31,21,BOX ELDER
26,30026,211,538,2.616740088105727,196,21,32,143,230,20,1,12,20,0,51,73,19,0,0,21,13,BOX ELDER
27,30027,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
28,30028,1,3,3.0,72,0,72,0,77,0,0,72,0,0,0,0,0,0,0,5,0,BOX ELDER
29,30029,251,736,2.9346153846153844,2,0,2,0,28,0,0,0,2,0,0,0,0,0,0,15,11,BOX ELDER
30,30030,308,639,2.1450617283950617,99,13,8,78,154,13,0,0,8,41,0,28,9,0,0,33,22,BOX ELDER
31,30031,236,524,2.2489795918367346,222,75,73,74,258,5,70,73,0,39,0,0,35,0,0,22,14,BOX ELDER
32,30032,110,272,2.6031746031746037,2,0,2,0,21,0,0,0,2,0,0,0,0,0,0,11,8,BOX ELDER
33,30033,166,353,2.2472527472527477,16,0,15,1,39,0,0,0,15,1,0,0,0,0,0,14,9,BOX ELDER
34,30034,208,528,2.607142857142857,20,2,13,5,51,2,0,13,0,5,0,0,0,0,0,18,13,BOX ELDER
35,30035,297,699,2.412140575079872,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,26,19,BOX ELDER
36,30036,87,204,2.3448275862068964,9,0,9,0,23,0,0,2,7,0,0,0,0,0,0,8,6,BOX ELDER
37,30037,0,0,0.0,138,0,127,11,138,0,0,0,127,0,0,0,11,0,0,0,0,BOX ELDER
38,30038,0,0,0.0,1345,0,1319,26,1593,0,0,1269,0,-50,23,3,0,0,0,248,0,BOX ELDER
39,30039,67,197,2.9402985074626864,140,18,0,122,152,18,0,0,0,0,0,3,119,0,0,8,4,BOX ELDER
40,30040,310,644,2.147239263803681,284,40,22,222,349,38,2,0,22,58,87,25,52,0,0,40,25,BOX ELDER
41,30041,121,260,2.1487603305785123,352,217,0,135,377,217,0,0,0,11,0,23,101,0,0,17,8,BOX ELDER
42,30042,73,157,2.150684931506849,74,0,0,74,86,0,0,0,0,3,0,0,71,0,0,7,5,BOX ELDER
43,30043,199,463,2.413953488372093,83,0,2,81,116,0,0,0,2,0,42,39,0,0,0,20,13,BOX ELDER
44,30044,102,285,2.810810810810811,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,12,8,BOX ELDER
45,30045,100,281,2.81,39,0,0,39,49,0,0,0,0,36,0,3,0,0,0,6,4,BOX ELDER
46,30046,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
47,30047,2,6,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOX ELDER
48,30048,10,27,2.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,BOX ELDER
49,30049,0,0,0.0,110,104,0,6,114,76,28,0,0,0,3,0,3,0,0,4,0,BOX ELDER
50,30050,4,11,2.75,275,1,54,220,740,1,0,11,43,33,138,45,4,0,0,465,0,BOX ELDER
51,30051,6,15,2.5,87,0,51,36,99,0,0,10,41,25,0,11,0,0,0,12,0,BOX ELDER
52,30052,56,118,2.107142857142857,1702,0,201,1501,1741,0,0,201,0,0,0,23,1478,0,0,35,4,BOX ELDER
53,30053,260,537,2.096654275092937,1340,331,72,937,1398,292,39,5,67,63,364,59,451,0,0,43,15,BOX ELDER
54,30054,148,424,2.872611464968153,638,55,18,565,676,12,43,17,1,91,236,72,166,0,0,26,12,BOX ELDER
55,30055,167,471,2.879781420765027,233,0,1,232,264,0,0,1,0,3,214,0,15,0,0,20,11,BOX ELDER
56,30056,43,120,2.7906976744186047,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,2,BOX ELDER
57,30057,57,161,2.824561403508772,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,7,5,BOX ELDER
58,30058,0,0,0.0,77,0,77,0,97,0,0,77,0,0,0,0,0,0,0,20,0,BOX ELDER
