;TAZID,;CO_TAZID,CO_NAME,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ
1,30001,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,30002,BOX ELDER,21,50,2.380952380952381,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1
3,30003,BOX ELDER,35,83,2.3714285714285714,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1
4,30004,BOX ELDER,1,3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,30005,BOX ELDER,91,245,2.6923076923076925,2,0,0,2,17,0,0,0,0,0,0,2,0,0,0,10,5
6,30006,BOX ELDER,5,12,2.4,7,0,7,0,8,0,0,0,7,0,0,0,0,0,0,1,0
7,30007,BOX ELDER,57,136,2.3859649122807016,35,2,26,7,257,2,0,0,26,0,0,0,7,212,0,5,5
8,30008,BOX ELDER,71,191,2.6901408450704225,66,20,0,46,76,20,0,0,0,44,0,0,2,0,0,5,5
9,30009,BOX ELDER,21,51,2.4285714285714284,87,0,87,0,90,0,0,0,87,0,0,0,0,0,0,2,1
10,30010,BOX ELDER,32,75,2.34375,90,0,90,0,94,0,0,0,90,0,0,0,0,0,0,3,1
11,30011,BOX ELDER,11,29,2.6363636363636362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,30012,BOX ELDER,25,64,2.56,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1
13,30013,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,30014,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,30015,BOX ELDER,1,3,3.0,271,0,261,10,323,0,0,119,142,0,0,0,10,49,0,3,0
16,30016,BOX ELDER,1,3,3.0,105,0,80,25,114,0,0,8,72,0,0,0,25,0,0,9,0
17,30017,BOX ELDER,5,13,2.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
18,30018,BOX ELDER,0,0,0.0,718,0,718,0,728,0,0,508,210,0,0,0,0,0,0,10,0
19,30019,BOX ELDER,347,936,2.6974063400576367,29,18,10,1,64,18,0,0,10,1,0,0,0,0,0,18,17
20,30020,BOX ELDER,235,482,2.051063829787234,141,15,74,52,174,15,0,72,2,0,0,0,52,0,0,18,15
21,30021,BOX ELDER,0,0,0.0,457,0,457,0,464,0,0,419,38,0,0,0,0,0,0,7,0
22,30022,BOX ELDER,4,8,2.0,10,0,10,0,10,0,0,10,0,0,0,0,0,0,0,0,0
23,30023,BOX ELDER,5,13,2.6,52,0,52,0,53,0,0,25,27,0,0,0,0,0,0,1,0
24,30024,BOX ELDER,205,552,2.6926829268292685,2,0,0,2,22,0,0,0,0,0,0,1,1,0,0,11,9
25,30025,BOX ELDER,405,1062,2.6222222222222222,162,7,2,153,228,7,0,0,2,1,127,20,5,0,0,35,31
26,30026,BOX ELDER,254,525,2.0669291338582676,223,23,33,167,266,22,1,15,18,0,57,87,23,0,0,25,18
27,30027,BOX ELDER,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,30028,BOX ELDER,1,3,3.0,85,0,85,0,90,0,0,85,0,0,0,0,0,0,0,5,0
29,30029,BOX ELDER,328,842,2.567073170731707,2,0,2,0,34,0,0,0,2,0,0,0,0,0,0,17,15
30,30030,BOX ELDER,388,647,1.6675257731958764,117,16,7,94,187,16,0,0,7,50,0,34,10,0,0,38,32
31,30031,BOX ELDER,308,583,1.8928571428571428,253,78,86,89,299,6,72,86,0,47,0,0,42,0,0,26,20
32,30032,BOX ELDER,114,202,1.7719298245614035,2,0,2,0,26,0,0,0,2,0,0,0,0,0,0,12,12
33,30033,BOX ELDER,191,300,1.5706806282722514,15,0,14,1,45,0,0,0,14,1,0,0,0,0,0,16,14
34,30034,BOX ELDER,249,514,2.0642570281124497,24,2,16,6,62,2,0,16,0,6,0,0,0,0,0,20,18
35,30035,BOX ELDER,372,720,1.935483870967742,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,30,27
36,30036,BOX ELDER,121,247,2.041322314049587,8,0,8,0,27,0,0,2,6,0,0,0,0,0,0,10,9
37,30037,BOX ELDER,0,0,0.0,132,0,119,13,132,0,0,0,119,0,0,0,13,0,0,0,0
38,30038,BOX ELDER,0,0,0.0,1355,0,1441,-86,1636,0,0,1441,0,-116,26,4,0,0,0,281,0
39,30039,BOX ELDER,92,239,2.597826086956522,166,20,0,146,181,20,0,0,0,0,0,3,143,0,0,10,5
40,30040,BOX ELDER,391,654,1.6726342710997442,329,47,20,262,408,45,2,0,20,71,98,30,63,0,0,45,34
41,30041,BOX ELDER,167,315,1.8862275449101797,415,254,0,161,445,254,0,0,0,14,0,27,120,0,0,18,12
