;TAZID,CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
1,30001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68948.0,0,0,0,3,BOX ELDER
2,30002,14.0,39.0,0.358974358974359,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,66905.0,0,0,0,3,BOX ELDER
3,30003,22.0,65.0,0.3384615384615385,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,51492.0,0,0,0,3,BOX ELDER
4,30004,1.0,3.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.8000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51492.0,0,0,0,3,BOX ELDER
5,30005,57.999999998666375,191.99999999558528,0.3020833333333333,1.999999999954013,0.0,0.0,1.999999999954013,12.899999999703384,0.0,0.0,0.0,0.0,0.0,0.0,1.999999999954013,0.0,0.0,0.0,6.999999999839045,2.99999999993102,68948.0,0,0,0,3,BOX ELDER
6,30006,3.0,9.0,0.3333333333333333,8.0,0.0,8.0,0.0,6.3,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51492.0,0,0,0,3,BOX ELDER
7,30007,35.9999999717369,105.99999991678088,0.3396226415094339,34.999999972521984,1.999999998429828,26.999999978802677,5.999999995289484,127.599999899823,1.999999998429828,0.0,0.0,26.999999978802677,0.0,0.0,0.0,5.999999995289484,214.99999983120648,0.0,5.999999995289484,2.999999997644742,51492.0,0,0,0,3,BOX ELDER
8,30008,45.0,150.0,0.3,55.0,17.0,0.0,38.0,48.6,17.0,0.0,0.0,0.0,36.0,0.0,0.0,2.0,0.0,0.0,6.0,3.0,71055.0,0,0,0,3,BOX ELDER
9,30009,14.0,40.0,0.35,90.0,0.0,90.0,0.0,70.4,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,0,0,0,3,BOX ELDER
10,30010,20.0,59.0,0.3389830508474576,93.0,0.0,93.0,0.0,54.20000000000001,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,51492.0,0,0,0,3,BOX ELDER
11,30011,7.0,23.0,0.3043478260869565,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71342.0,0,0,0,3,BOX ELDER
12,30012,16.0,50.0,0.32,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,71342.0,0,0,0,3,BOX ELDER
13,30013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71342.0,0,0,0,3,BOX ELDER
14,30014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71342.0,0,0,0,3,BOX ELDER
15,30015,1.0,3.0,0.3333333333333333,264.0,0.0,255.0,9.0,280.1,0.0,0.0,109.0,146.0,0.0,0.0,0.0,9.0,49.0,0.0,4.0,0.0,66905.0,0,0,0,3,BOX ELDER
16,30016,1.0,3.0,0.3333333333333333,97.0,0.0,76.0,21.0,69.8,0.0,0.0,2.0,74.0,0.0,0.0,0.0,21.0,0.0,0.0,2.0,0.0,68948.0,0,0,0,3,BOX ELDER
17,30017,3.0,10.0,0.3,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,71342.0,0,0,0,3,BOX ELDER
18,30018,0.0,0.0,0.0,683.0,0.0,683.0,0.0,689.4,0.0,0.0,467.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,71342.0,0,0,0,3,BOX ELDER
19,30019,222.0,733.0,0.3028649386084583,25.0,15.0,10.0,0.0,58.4,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,68948.0,0,0,0,3,BOX ELDER
20,30020,150.0,378.0,0.3968253968253968,37.0,12.0,2.0,23.0,113.7,12.0,0.0,0.0,2.0,0.0,0.0,0.0,23.0,0.0,0.0,18.0,9.0,79483.0,0,0,0,3,BOX ELDER
21,30021,0.0,0.0,0.0,424.0,0.0,424.0,0.0,410.6000000000001,0.0,0.0,385.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,68948.0,0,0,0,3,BOX ELDER
22,30022,2.0,6.0,0.3333333333333333,9.0,0.0,9.0,0.0,35.4,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68948.0,0,0,0,3,BOX ELDER
23,30023,3.0,10.0,0.3,47.0,0.0,47.0,0.0,103.09999999999998,0.0,0.0,20.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,68948.0,0,0,0,3,BOX ELDER
24,30024,131.0,433.0,0.302540415704388,1.0,0.0,0.0,1.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,5.0,68948.0,0,0,0,3,BOX ELDER
25,30025,298.0,985.0,0.3025380710659898,125.0,5.0,2.0,118.0,170.6,5.0,0.0,0.0,2.0,0.0,102.0,12.0,4.0,0.0,0.0,38.0,18.0,61738.0,0,0,0,3,BOX ELDER
26,30026,201.0,564.0,0.3563829787234042,176.0,17.0,32.0,127.0,187.4,17.0,0.0,13.0,19.0,0.0,46.0,62.0,19.0,0.0,0.0,26.0,11.0,54266.0,0,0,0,3,BOX ELDER
27,30027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71342.0,0,0,0,3,BOX ELDER
