year,sector_id,number_of_jobs,cid
2023,1,1295,3
2023,2,999,3
2023,3,2652,3
2023,4,1486,3
2023,5,2957,3
2023,6,898,3
2023,7,4227,3
2023,8,33,3
2023,9,1963,3
2023,10,1150,3
2023,11,587,3
2023,12,711,3
2023,1,12085,11
2023,2,14813,11
2023,3,43443,11
2023,4,18274,11
2023,5,14203,11
2023,6,19382,11
2023,7,56940,11
2023,8,338,11
2023,9,21583,11
2023,10,13587,11
2023,11,847,11
2023,12,5983,11
2023,1,60006,35
2023,2,64998,35
2023,3,149581,35
2023,4,82212,35
2023,5,63149,35
2023,6,140537,35
2023,7,269746,35
2023,8,4540,35
2023,9,87706,35
2023,10,101133,35
2023,11,1221,35
2023,12,31898,35
2023,1,25345,49
2023,2,35827,49
2023,3,64779,49
2023,4,40016,49
2023,5,25230,49
2023,6,62628,49
2023,7,109034,49
2023,8,881,49
2023,9,48653,49
2023,10,21002,49
2023,11,3624,49
2023,12,15785,49
2023,1,9421,57
2023,2,10718,57
2023,3,26160,57
2023,4,15545,57
2023,5,19158,57
2023,6,10675,57
2023,7,36767,57
2023,8,209,57
2023,9,15587,57
2023,10,10193,57
2023,11,1537,57
2023,12,3746,57
2024,1,12275,11
2024,2,15736,11
2024,3,43458,11
2024,4,18042,11
2024,5,15837,11
2024,6,23092,11
2024,7,53062,11
2024,8,155,11
2024,9,18906,11
2024,10,12683,11
2024,11,1032,11
2024,12,6003,11
2024,1,62603,35
2024,2,57600,35
2024,3,149500,35
2024,4,82573,35
2024,5,64358,35
2024,6,143932,35
2024,7,281358,35
2024,8,3641,35
2024,9,79864,35
2024,10,99486,35
2024,11,1309,35
2024,12,32091,35
2024,1,24817,49
2024,2,35235,49
2024,3,65002,49
2024,4,38451,49
2024,5,23970,49
2024,6,66964,49
2024,7,101607,49
2024,8,698,49
2024,9,42002,49
2024,10,18767,49
2024,11,3442,49
2024,12,15324,49
2024,1,9128,57
2024,2,9560,57
2024,3,24781,57
2024,4,15937,57
2024,5,16331,57
2024,6,10991,57
2024,7,38959,57
2024,8,148,57
2024,9,14037,57
2024,10,9349,57
2024,11,1469,57
2024,12,3751,57
2025,1,12428,11
2025,2,15974,11
2025,3,43622,11
2025,4,18496,11
2025,5,16089,11
2025,6,23795,11
2025,7,53953,11
2025,8,156,11
2025,9,18798,11
2025,10,12889,11
2025,11,1020,11
2025,12,6110,11
2025,1,63117,35
2025,2,58872,35
2025,3,149695,35
2025,4,84332,35
2025,5,65041,35
2025,6,147860,35
2025,7,285165,35
2025,8,3623,35
2025,9,79219,35
2025,10,102020,35
2025,11,1290,35
2025,12,32573,35
2025,1,25320,49
2025,2,36248,49
2025,3,64998,49
2025,4,39507,49
2025,5,24291,49
2025,6,69168,49
2025,7,103940,49
2025,8,706,49
2025,9,41995,49
2025,10,19217,49
2025,11,3405,49
2025,12,15621,49
2025,1,9206,57
2025,2,9495,57
2025,3,24815,57
2025,4,16251,57
2025,5,16602,57
2025,6,11327,57
2025,7,39575,57
2025,8,150,57
2025,9,13893,57
2025,10,9491,57
2025,11,1456,57
2025,12,3804,57
2026,1,12512,11
2026,2,16211,11
2026,3,43852,11
2026,4,18929,11
2026,5,16318,11
2026,6,24372,11
2026,7,54371,11
2026,8,158,11
2026,9,18866,11
2026,10,13064,11
2026,11,1028,11
2026,12,6198,11
2026,1,63425,35
2026,2,60101,35
2026,3,150663,35
2026,4,86174,35
2026,5,65725,35
2026,6,151790,35
2026,7,286874,35
2026,8,3619,35
2026,9,79380,35
2026,10,104033,35
2026,11,1296,35
2026,12,32990,35
2026,1,25643,49
2026,2,37072,49
2026,3,65415,49
2026,4,40510,49
2026,5,24556,49
2026,6,70932,49
2026,7,105094,49
2026,8,716,49
2026,9,42244,49
2026,10,19582,49
2026,11,3390,49
2026,12,15871,49
2026,1,9237,57
2026,2,9533,57
2026,3,24910,57
2026,4,16544,57
2026,5,16840,57
2026,6,11610,57
2026,7,39808,57
2026,8,153,57
2026,9,13885,57
2026,10,9607,57
2026,11,1456,57
2026,12,3833,57
2027,1,12602,11
2027,2,16596,11
2027,3,44272,11
2027,4,19385,11
2027,5,16529,11
2027,6,24754,11
2027,7,54726,11
2027,8,159,11
2027,9,18951,11
2027,10,13127,11
2027,11,1041,11
