building_id,year,jobs,jobs_sector,dev_type,sector_id
766623,2023,150,government,add additional,3
766623,2024,110,manufacturing,add additional,5
766623,2025,122,government,add additional,3
766623,2025,89,manufacturing,add additional,5
766623,2025,109,office,add additional,6
766623,2026,127,government,add additional,3
766623,2026,87,manufacturing,add additional,5
766623,2026,106,office,add additional,6
766623,2027,141,government,add additional,3
766623,2027,79,manufacturing,add additional,5
766623,2028,335,office,add additional,6
766623,2029,170,manufacturing,add additional,5
766623,2029,200,office,add additional,6
766623,2029,210,other,add additional,7
766623,2030,120,manufacturing,add additional,5
766623,2030,167,office,add additional,6
766623,2031,74,manufacturing,add additional,5
766623,2031,84,other,add additional,7
766623,2032,61,manufacturing,add additional,5
766623,2032,42,office,add additional,6
766623,2032,97,other,add additional,7
766623,2033,81,manufacturing,add additional,5
766623,2033,111,office,add additional,6
766623,2033,45,other,add additional,7
766623,2034,78,manufacturing,add additional,5
766623,2034,195,office,add additional,6
766623,2034,125,other,add additional,7
766623,2035,194,office,add additional,6
766623,2035,111,other,add additional,7
766623,2036,227,office,add additional,6
766623,2036,132,other,add additional,7
766623,2037,228,office,add additional,6
766623,2037,21,other,add additional,7
766626,2020,128,office,add additional,3
766541,2020,218,government,add additional,3
766541,2020,650,manufacturing,add additional,5
766541,2020,727,government,add additional,3
766541,2020,205,manufacturing,add additional,5
766541,2021,420,government,add additional,3
766541,2022,330,government,add additional,3
766541,2022,90,manufacturing,add additional,5
766541,2023,26,government,add additional,3
766541,2023,203,manufacturing,add additional,5
766541,2023,86,office,add additional,6
766541,2024,72,government,add additional,3
766541,2024,179,manufacturing,add additional,5
766541,2024,65,office,add additional,6
766541,2025,128,government,add additional,3
766541,2025,147,manufacturing,add additional,5
766541,2025,40,office,add additional,6
766527,2023,9,government,add additional,3
766527,2023,68,manufacturing,add additional,5
766527,2023,29,office,add additional,6
766527,2024,24,government,add additional,3
766527,2024,60,manufacturing,add additional,5
766527,2024,22,office,add additional,6
766527,2025,43,government,add additional,3
766527,2025,49,manufacturing,add additional,5
766527,2025,13,office,add additional,6
766631,2023,225,government,add additional,3
766631,2024,16,manufacturing,add additional,5
766631,2024,209,government,add additional,3
766631,2025,68,government,add additional,3
766631,2025,105,manufacturing,add additional,5
766631,2025,52,office,add additional,6
766631,2026,96,government,add additional,3
766631,2026,95,manufacturing,add additional,5
766631,2026,34,office,add additional,6
766631,2027,175,government,add additional,3
766631,2027,50,manufacturing,add additional,5
766631,2028,128,government,add additional,3
766631,2029,120,government,add additional,3
766631,2030,144,government,add additional,3
766631,2032,85,government,add additional,3
766631,2033,90,government,add additional,3
766631,2034,96,government,add additional,3
766631,2035,92,government,add additional,3
766631,2036,115,government,add additional,3
766631,2037,123,government,add additional,3
766630,2023,275,government,add additional,3
