building_type_id,non_residential_sqft,note,parcel_id,residential_units,stories,unit_price_non_residential,year_built,res_price_per_sqft,residential_price,non_residential_price,job_spaces,building_sqft,DEVTYPE
2,0,pipeline,57047,301,2,0,2024,0,0,0,0,481600,develop
2,0,pipeline,57339,89,2,0,2024,0,0,0,0,106800,develop
2,0,pipeline,34472,100,3,0,2025,0,0,0,0,160000,develop
2,0,pipeline,53489,448,6,0,2023,0,0,0,0,585000,develop
0,0,pipeline,53489,0,0,0,2022,0,0,0,0,0,demolition
2,0,pipeline,66295,263,6,0,2025,0,0,0,0,315600,develop
2,0,pipeline,64911,329,6,0,2025,0,0,0,0,400000,develop
2,0,pipeline,55484,201,6,0,2021,0,0,0,0,27157,develop
5,587000,pipeline,28716,0,1,0,2027,0,0,0,2250,587000,develop
2,0,pipeline,48101,505,6,0,2024,0,0,0,0,0,develop
0,0,pipeline,48101,0,0,0,2023,0,0,0,0,0,demolition
0,0,pipeline,327577,0,0,0,2022,0,0,0,0,0,demolition
0,0,pipeline,328129,0,0,0,2022,0,0,0,0,0,demolition
2,0,pipeline,68337,42,2,0,2023,0,0,0,0,70000,develop
2,0,pipeline,327577,43,2,0,2023,0,0,0,0,70000,develop
2,0,pipeline,66122,43,2,0,2023,0,0,0,0,70000,develop
2,0,pipeline,28697,60,1,0,2025,0,0,0,0,50000,develop
2,0,pipeline,28698,67,1,0,2025,0,0,0,0,50000,develop
4,389000,pipeline,53368,0,24,0,2024,0,0,0,614,389000,develop
2,0,pipeline,36555,377,39,0,2024,0,0,0,0,680000,develop
2,0,pipeline,27170,87,1,0,2040,0,0,0,0,0,develop
7,0,pipeline,27170,87,1,0,2045,0,0,0,422,105475,develop
7,0,pipeline,29630,41,1,0,2025,0,0,0,2,381,develop
7,0,pipeline,29630,17,1,0,2030,0,0,0,31,7850,develop
2,0,pipeline,29781,9,1,0,2040,0,0,0,0,0,develop
7,0,pipeline,29781,19,1,0,2045,0,0,0,28,7925,develop
2,0,pipeline,29782,9,1,0,2035,0,0,0,0,0,develop
5,0,pipeline,29782,0,1,0,2040,0,0,0,29,11734,develop
5,0,pipeline,29782,0,1,0,2045,0,0,0,188,48901,develop
7,0,pipeline,29783,3,1,0,2035,0,0,0,35,13940,develop
5,0,pipeline,29783,0,1,0,2040,0,0,0,146,36477,develop
7,0,pipeline,29784,3,1,0,2035,0,0,0,35,13940,develop
5,0,pipeline,29784,0,1,0,2040,0,0,0,146,36477,develop
5,0,pipeline,29788,0,1,0,2025,0,0,0,56,13960,develop
3,0,pipeline,29788,0,1,0,2030,0,0,0,37,36829,develop
2,0,pipeline,29788,101,1,0,2035,0,0,0,0,0,develop
5,0,pipeline,29788,0,1,0,2045,0,0,0,94,37623,develop
5,0,pipeline,29789,0,1,0,2025,0,0,0,7,4666,develop
7,0,pipeline,29789,4,1,0,2030,0,0,0,4,3620,develop
5,0,pipeline,29789,0,1,0,2040,0,0,0,2,745,develop
5,0,pipeline,29789,0,1,0,2045,0,0,0,2,776,develop
5,0,pipeline,29808,0,1,0,2035,0,0,0,20,8191,develop
2,0,pipeline,29808,4,1,0,2045,0,0,0,0,0,develop
5,0,pipeline,29809,0,1,0,2030,0,0,0,18,4440,develop
2,0,pipeline,29809,6,1,0,2035,0,0,0,0,0,develop
2,0,pipeline,29809,9,1,0,2040,0,0,0,0,0,develop
2,0,pipeline,29809,5,1,0,2045,0,0,0,0,0,develop
7,0,pipeline,29810,4,1,0,2030,0,0,0,1,545,develop
5,0,pipeline,29810,0,1,0,2035,0,0,0,19,7764,develop
5,0,pipeline,30996,0,1,0,2025,0,0,0,4,1798,develop
5,0,pipeline,30996,0,1,0,2030,0,0,0,54,13536,develop
5,0,pipeline,30997,0,1,0,2025,0,0,0,5,1922,develop
5,0,pipeline,30997,0,1,0,2030,0,0,0,58,14471,develop
5,0,pipeline,30998,0,1,0,2025,0,0,0,3,1118,develop
5,0,pipeline,30998,0,1,0,2030,0,0,0,34,8416,develop
5,0,pipeline,30999,0,1,0,2025,0,0,0,6,2399,develop
5,0,pipeline,30999,0,1,0,2030,0,0,0,72,18065,develop
7,0,pipeline,31059,49,1,0,2025,0,0,0,2,458,develop
7,0,pipeline,31059,20,1,0,2030,0,0,0,38,9431,develop
7,0,pipeline,33986,42,1,0,2045,0,0,0,642,178941,develop
7,0,pipeline,35402,6,1,0,2025,0,0,0,91,36254,develop
5,0,pipeline,35402,0,1,0,2030,0,0,0,57,22586,develop
5,0,pipeline,35402,0,1,0,2035,0,0,0,241,60147,develop
2,0,pipeline,35454,500,1,0,2030,0,0,0,0,0,develop
7,0,pipeline,35454,500,1,0,2035,0,0,0,800,199906,develop
5,0,pipeline,35454,0,1,0,2040,0,0,0,2720,680000,develop
5,0,pipeline,35454,0,1,0,2045,0,0,0,480,120074,develop
7,0,pipeline,35455,10,1,0,2030,0,0,0,25,10121,develop
5,0,pipeline,35455,0,1,0,2035,0,0,0,526,143383,develop
5,0,pipeline,53437,0,1,0,2025,0,0,0,2,993,develop
5,0,pipeline,53437,0,1,0,2030,0,0,0,30,7478,develop
5,0,pipeline,53438,0,1,0,2025,0,0,0,3,1141,develop
5,0,pipeline,53438,0,1,0,2030,0,0,0,34,8589,develop
5,0,pipeline,53439,0,1,0,2025,0,0,0,2,933,develop
5,0,pipeline,53439,0,1,0,2030,0,0,0,28,7028,develop
2,0,pipeline,55485,353,1,0,2025,0,0,0,0,0,develop
5,0,pipeline,55485,0,1,0,2030,0,0,0,145,42761,develop
5,0,pipeline,55485,0,1,0,2035,0,0,0,464,116025,develop
7,0,pipeline,60391,32,1,0,2045,0,0,0,494,137595,develop
7,0,pipeline,60479,6,1,0,2045,0,0,0,86,23919,develop
5,0,pipeline,61141,0,1,0,2025,0,0,0,2,469,develop
3,0,pipeline,61141,0,1,0,2030,0,0,0,1,1238,develop
2,0,pipeline,61141,3,1,0,2035,0,0,0,0,0,develop
5,0,pipeline,61141,0,1,0,2045,0,0,0,3,1265,develop
7,0,pipeline,61719,4,1,0,2025,0,0,0,4,1591,develop
5,0,pipeline,61719,0,1,0,2030,0,0,0,18,4612,develop
7,0,pipeline,61723,2,1,0,2030,0,0,0,4,1530,develop
5,0,pipeline,61723,0,1,0,2035,0,0,0,80,21680,develop
2,0,pipeline,61741,9,1,0,2025,0,0,0,0,85,develop
7,0,pipeline,61741,4,1,0,2030,0,0,0,7,1740,develop
5,0,pipeline,67087,0,1,0,2035,0,0,0,3,1224,develop
2,0,pipeline,67087,1,1,0,2045,0,0,0,0,0,develop
5,0,pipeline,67117,0,1,0,2025,0,0,0,1,589,develop
5,0,pipeline,67117,0,1,0,2030,0,0,0,18,4434,develop
7,0,pipeline,67225,24,1,0,2025,0,0,0,1,224,develop
7,0,pipeline,67225,10,1,0,2030,0,0,0,18,4607,develop
7,0,pipeline,67646,14,1,0,2025,0,0,0,1,135,develop
7,0,pipeline,67646,6,1,0,2030,0,0,0,11,2785,develop
7,0,pipeline,67647,22,1,0,2025,0,0,0,1,204,develop
7,0,pipeline,67647,9,1,0,2030,0,0,0,17,4205,develop
7,0,pipeline,67648,21,1,0,2025,0,0,0,1,193,develop
7,0,pipeline,67648,9,1,0,2030,0,0,0,16,3982,develop
7,0,pipeline,67650,18,1,0,2025,0,0,0,1,168,develop
7,0,pipeline,67650,8,1,0,2030,0,0,0,14,3468,develop
7,0,pipeline,67779,37,1,0,2025,0,0,0,27,10822,develop
5,0,pipeline,67779,0,1,0,2030,0,0,0,115,28819,develop
7,0,pipeline,67780,20,1,0,2025,0,0,0,15,5960,develop
5,0,pipeline,67780,0,1,0,2030,0,0,0,63,15872,develop
7,0,pipeline,67781,20,1,0,2025,0,0,0,15,5949,develop
5,0,pipeline,67781,0,1,0,2030,0,0,0,63,15843,develop
7,0,pipeline,67782,10,1,0,2025,0,0,0,125,35083,develop
5,0,pipeline,67782,0,1,0,2030,0,0,0,11,2849,develop
7,0,pipeline,67783,8,1,0,2025,0,0,0,97,27150,develop
5,0,pipeline,67783,0,1,0,2030,0,0,0,9,2205,develop
7,0,pipeline,67784,11,1,0,2025,0,0,0,140,39229,develop
5,0,pipeline,67784,0,1,0,2030,0,0,0,13,3185,develop
2,0,pipeline,67898,53,1,0,2025,0,0,0,0,0,develop
5,0,pipeline,67898,0,1,0,2030,0,0,0,7,2629,develop
5,0,pipeline,67898,0,1,0,2035,0,0,0,28,7001,develop
7,0,pipeline,68073,28,1,0,2025,0,0,0,20,8153,develop
5,0,pipeline,68073,0,1,0,2030,0,0,0,87,21711,develop
7,0,pipeline,68074,23,1,0,2025,0,0,0,17,6926,develop
5,0,pipeline,68074,0,1,0,2030,0,0,0,74,18444,develop
7,0,pipeline,68075,15,1,0,2025,0,0,0,11,4345,develop
5,0,pipeline,68075,0,1,0,2030,0,0,0,46,11570,develop
7,0,pipeline,68076,13,1,0,2025,0,0,0,165,46443,develop
5,0,pipeline,68076,0,1,0,2030,0,0,0,15,3771,develop
7,0,pipeline,68077,8,1,0,2025,0,0,0,100,27879,develop
5,0,pipeline,68077,0,1,0,2030,0,0,0,9,2264,develop
7,0,pipeline,68282,15,1,0,2025,0,0,0,11,4345,develop
5,0,pipeline,68282,0,1,0,2030,0,0,0,46,11569,develop
7,0,pipeline,68283,13,1,0,2025,0,0,0,164,45951,develop
5,0,pipeline,68283,0,1,0,2030,0,0,0,15,3731,develop
7,0,pipeline,68284,8,1,0,2025,0,0,0,98,27582,develop
5,0,pipeline,68284,0,1,0,2030,0,0,0,9,2240,develop
2,0,pipeline,68341,209,1,0,2025,0,0,0,0,0,develop
5,0,pipeline,68341,0,1,0,2030,0,0,0,26,10340,develop
5,0,pipeline,68341,0,1,0,2035,0,0,0,110,27537,develop
7,0,pipeline,68574,14,1,0,2025,0,0,0,14,5741,develop
5,0,pipeline,68574,0,1,0,2030,0,0,0,66,16643,develop
2,0,pipeline,68876,11,1,0,2025,0,0,0,0,0,develop
7,0,pipeline,68876,15,1,0,2030,0,0,0,20,7772,develop
