year,number_of_population,cid
1990,185229,11
1990,718632,35
1990,256568,49
1990,151962,57
1991,191782,11
1991,739719,35
1991,262982,49
1991,154892,57
1992,197802,11
1992,764589,35
1992,270439,49
1992,159315,57
1993,202277,11
1993,780563,35
1993,282989,49
1993,162552,57
1994,208722,11
1994,800382,35
1994,291086,49
1994,166538,57
1995,212618,11
1995,815225,35
1995,300934,49
1995,170463,57
1996,216249,11
1996,828106,35
1996,311624,49
1996,174267,57
1997,220904,11
1997,845263,35
1997,325101,49
1997,178939,57
1998,225980,11
1998,857264,35
1998,335272,49
1998,181368,57
1999,231866,11
1999,871278,35
1999,348848,49
1999,185131,57
2000,236654,11
2000,888380,35
2000,362149,49
2000,189016,57
2001,241608,11
2001,899300,35
2001,374901,49
2001,192556,57
2002,248056,11
2002,905901,35
2002,386400,49
2002,195257,57
2003,254508,11
2003,914331,35
2003,398225,49
2003,197901,57
2004,261782,11
2004,929048,35
2004,413688,49
2004,201789,57
2005,271883,11
2005,952694,35
2005,430040,49
2005,206109,57
2006,280461,11
2006,971006,35
2006,449771,49
2006,208721,57
2007,288779,11
2007,981382,35
2007,467912,49
2007,212774,57
2008,294410,11
2008,993017,35
2008,484332,49
2008,216647,57
2009,299890,11
2009,1004633,35
2009,494713,49
2009,219529,57
2010,304408,11
2010,1016184,35
2010,503555,49
2010,222804,57
2011,310364,11
2011,1033093.6,35
2011,516530,49
2011,225401,57
2012,315864,11
2012,1049120.6,35
2012,527785,49
2012,228563,57
2013,322096,11
2013,1061780.7,35
2013,536453,49
2013,230721,57
2014,327828,11
2014,1074052.9,35
2014,548368,49
2014,233010,57
2015,334387,11
2015,1089980,35
2015,565882,49
2015,236743,57
2016,341232,11
2016,1106353,35
2016,582569,49
2016,240252,57
2017,347632,11
2017,1127810.6,35
2017,595990,49
2017,243966,57
2018,351979,11
2018,1143765.9,35
2018,610882,49
2018,247284,57
2019,356443,11
2019,1156817,35
2019,627717,49
2019,249779,57
2020,359628,11
2020,1170299.2,35
2020,646297,49
2020,252225,57
2021,364127,11
2021,1179526.4,35
2021,665294,49
2021,255091,57
2022,368343,11
2022,1192479.7,35
2022,684257,49
2022,258078,57
2023,372453,11
2023,1205176.1,35
2023,704040,49
2023,261074,57
2024,376632,11
2024,1217823.4,35
2024,724108,49
2024,264111,57
2025,381001,11
2025,1230547.7,35
2025,743968,49
2025,267210,57
2026,385634,11
2026,1243424.1,35
2026,763240,49
2026,270378,57
2027,390581,11
2027,1256494.5,35
2027,781782,49
2027,273613,57
2028,395866,11
2028,1269765.8,35
2028,799509,49
2028,276917,57
2029,401444,11
2029,1283206.1,35
2029,816440,49
2029,280279,57
2030,407250,11
2030,1296749.4,35
2030,832742,49
2030,283681,57
2031,413188,11
2031,1310279.7,35
2031,848724,49
2031,287099,57
2032,419117,11
2032,1323670.1,35
2032,864836,49
2032,290505,57
2033,425102,11
2033,1337061.5,35
2033,881248,49
2033,293935,57
2034,431101,11
2034,1350354.9,35
2034,897815,49
2034,297363,57
2035,437151,11
2035,1363677.4,35
2035,914535,49
2035,300825,57
2036,443242,11
2036,1377011.9,35
2036,931362,49
2036,304317,57
2037,449337,11
2037,1390278.4,35
2037,948255,49
2037,307813,57
2038,455424,11
2038,1403431.9,35
2038,965183,49
2038,311303,57
2039,461475,11
2039,1416434.5,35
2039,982060,49
2039,314768,57
2040,467542,11
2040,1429412.2,35
2040,999023,49
2040,318241,57
2041,473569,11
2041,1442231.9,35
2041,1015896,49
2041,321686,57
2042,479518,11
2042,1454807.6,35
2042,1032607,49
2042,325085,57
2043,485382,11
2043,1467165.5,35
2043,1049132,49
2043,328443,57
2044,491103,11
2044,1479173.3,35
2044,1065360,49
2044,331730,57
2045,496738,11
2045,1490937.3,35
2045,1081442,49
2045,334971,57
2046,502343,11
2046,1502600.3,35
2046,1097463,49
2046,338203,57
2047,507865,11
2047,1514021.3,35
2047,1113281,49
2047,341385,57
2048,513301,11
2048,1525217.5,35
2048,1128903,49
2048,344523,57
2049,518609,11
2049,1536078.8,35
2049,1144255,49
2049,347591,57
2050,523779,11
2050,1546598.1,35
2050,1159333,49
2050,350583,57
2051,528933,11
2051,1557028.4,35
2051,1174459,49
2051,353564,57
2052,534043,11
2052,1567300.9,35
2052,1189563,49
2052,356515,57
2053,539103,11
2053,1577420.5,35
2053,1204589,49
2053,359443,57
2054,544062,11
2054,1587283.2,35
2054,1219389,49
2054,362311,57
2055,548918,11
2055,1596861.9,35
2055,1233965,49
2055,365117,57
2056,553745,11
2056,1606290.7,35
2056,1248543,49
2056,367902,57
2057,558547,11
2057,1615567.4,35
2057,1263161,49
2057,370669,57
2058,563343,11
2058,1624748.3,35
2058,1277842,49
2058,373430,57
2059,568132,11
2059,1633806.2,35
2059,1292587,49
2059,376184,57
2060,572839,11
2060,1642578.1,35
2060,1307142,49
2060,378881,57
