parcel_id,TAZID_900,max_dua,max_far,year,type1,type2,type3,type4,type5,type6,type7,type8,locnote,mponote,AreaName
7946,832,13,2.6,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Bountiful Downtown
8132,867,,0.3,2023,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,North Salt Lake / Woods Cross Industrial District
6549,825,8.1,1.6,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Gateway Crossing
8367,791,,0.8,2023,0,0,0,1,1,0,0,0,WFRCCenters,WFRC,Sheep Lane Employment District
7725,881,,0.3,2023,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,North Salt Lake / Woods Cross Industrial District
7811,881,,0.3,2023,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,North Salt Lake / Woods Cross Industrial District
7730,881,,0.3,2023,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,North Salt Lake / Woods Cross Industrial District
8297,877,,0.3,2023,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,North Salt Lake / Woods Cross Industrial District
12380,878,,0.3,2023,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,North Salt Lake / Woods Cross Industrial District
8200,867,,0.3,2023,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,North Salt Lake / Woods Cross Industrial District
8201,867,,0.3,2023,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,North Salt Lake / Woods Cross Industrial District
5076,867,,0.3,2023,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,North Salt Lake / Woods Cross Industrial District
12325,867,,0.3,2023,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,North Salt Lake / Woods Cross Industrial District
8208,867,,0.3,2023,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,North Salt Lake / Woods Cross Industrial District
8203,867,,0.3,2023,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,North Salt Lake / Woods Cross Industrial District
8132,867,,0.3,2023,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,North Salt Lake / Woods Cross Industrial District
5080,752,6.5,1.4,2037,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Downtown Kaysville
10841,729,,0.3,2023,0,0,1,1,1,0,0,0,WFRCCenters,WFRC,Layton Industrial Center
5082,729,,0.3,2023,0,0,1,1,1,0,0,0,WFRCCenters,WFRC,Layton Industrial Center
6875,703,16.2,2.5,2023,0,1,1,1,1,0,0,0,WFRCCenters,WFRC,Layton Midtown
5084,663,5.7,1.9,2023,0,1,1,1,1,0,0,0,WFRCCenters,WFRC,East Antelope Center
8450,694,16.2,0.3,2023,0,1,0,0,1,0,0,0,Special District,WFRC,Weber State University Davis
488713,691,,0.7,2023,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,East Gate Business Center
491129,845,13,2,2031,0,1,1,1,1,0,0,0,WFRCCenters,WFRC,Renaissance Towne Center
248496,864,8.1,1.6,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Woods Cross Station
7898,830,13,2,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Bountiful 200 West
69712,831,13,2,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Bountiful 200 West
7981,806,8.1,1.4,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Legacy Crossing
7092,752,6.5,1.4,2037,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Downtown Kaysville
5096,752,6.5,1.4,2037,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Downtown Kaysville
371604,705,16.2,2.5,2023,0,1,1,1,1,0,0,0,WFRCCenters,WFRC,Layton Midtown
7581,704,16.2,2.5,2023,0,1,1,1,1,0,0,0,WFRCCenters,WFRC,Layton Midtown
5949,705,16.2,2.5,2023,0,1,1,1,1,0,0,0,WFRCCenters,WFRC,Layton Midtown
5104,701,16.2,2.5,2023,0,1,1,1,1,0,0,0,WFRCCenters,WFRC,Layton Midtown
6095,659,16.2,2.2,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Downtown Clearfield
7277,646,16.2,2.2,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Downtown Clearfield
7055,747,6.5,1.4,2037,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Downtown Kaysville
5112,826,8.1,1.6,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Pages Lane Center
73584,855,9.7,2.5,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,2600 South Center
5114,847,13,2,2031,0,1,1,1,1,0,0,0,WFRCCenters,WFRC,Orchard Drive 2200 South
7108,752,6.5,1.4,2037,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Downtown Kaysville
104472,747,6.5,1.4,2037,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Downtown Kaysville
413485,720,16.2,2.5,2023,0,1,1,1,1,0,0,0,WFRCCenters,WFRC,Layton Midtown
407711,660,16.2,2.2,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Downtown Clearfield
293881,807,17,1.9,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Centerville Downtown
9595,861,16.2,0.8,2023,0,1,1,1,1,0,0,0,WFRCCenters,WFRC,Legacy Gateway
12677,777,24.3,2.5,2031,0,1,1,1,1,0,0,0,WFRCCenters,WFRC,East Park Lane
474889,775,16.2,2.5,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,North Station
332745,601,16.2,1.8,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,West Point City Center
193427,668,16.2,1.8,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Syracuse SR 193 Center
285470,668,16.2,1.8,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Syracuse SR 193 Center
232410,658,16.2,2.2,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Downtown Clearfield
78114,585,8.1,1.4,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,West Point West Davis
14097,585,8.1,1.4,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,West Point West Davis
5516,585,8.1,1.4,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,West Point West Davis
335272,587,8.1,1.4,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,West Point West Davis
14132,618,16.2,1.8,2031,0,1,1,1,1,0,0,0,WFRCCenters,WFRC,Clinton Town Center
453400,596,16.2,1.8,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,West Point City Center
6549,825,8.1,1.6,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Gateway Crossing
148099,831,13,2.6,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Bountiful Downtown
5548,832,13,2.6,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Bountiful Downtown
5562,775,16.2,2.5,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Station Park
8916,660,16.2,2.2,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Downtown Clearfield
12874,660,16.2,2.2,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Downtown Clearfield
341852,703,16.2,2.5,2023,0,1,1,1,1,0,0,0,WFRCCenters,WFRC,Layton Midtown
431458,723,12.2,2.3,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Layton Downtown
13211,712,5.7,0.9,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Gordon & Fairfield Town Center
13211,712,5.7,0.9,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Gordon & Fairfield Town Center
492242,675,16.2,2.1,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Syracuse City Center
131556,679,16.2,2.1,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,Syracuse City Center
291884,666,5.7,1.9,2023,0,1,1,1,1,0,0,0,WFRCCenters,WFRC,East Antelope Center
125597,879,,0.3,2023,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,North Salt Lake / Woods Cross Industrial District
6295,883,20.2,1.8,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,North Salt Lake Town Center
11690,884,20.2,1.8,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,North Salt Lake Town Center
131387,883,20.2,1.8,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,North Salt Lake Town Center
312762,884,20.2,1.8,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,North Salt Lake Town Center
353243,884,20.2,1.8,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,North Salt Lake Town Center
6300,883,20.2,1.8,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,North Salt Lake Town Center
131387,883,20.2,1.8,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,North Salt Lake Town Center
7736,882,,0.3,2023,0,0,1,0,0,0,0,0,WFRCCenters,WFRC,North Salt Lake / Woods Cross Industrial District
6311,891,20.2,1.8,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,North Salt Lake Town Center
11556,891,20.2,1.8,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,North Salt Lake Town Center
11556,891,20.2,1.8,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,North Salt Lake Town Center
6313,891,20.2,1.8,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,North Salt Lake Town Center
392214,891,20.2,1.8,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,North Salt Lake Town Center
6318,891,20.2,1.8,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,North Salt Lake Town Center
6320,891,20.2,1.8,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,North Salt Lake Town Center
137988,891,20.2,1.8,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,North Salt Lake Town Center
6316,891,20.2,1.8,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,North Salt Lake Town Center
6315,891,20.2,1.8,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,North Salt Lake Town Center
6320,891,20.2,1.8,2023,0,1,0,1,1,0,0,0,WFRCCenters,WFRC,North Salt Lake Town Center
